state,x,y
Alabama,120,-77
Alaska,-215,-175
Arizona,-215,-50
Arkansas,40,-53
California,-320,13
Colorado,-130,20
Connecticut,293,85
Delaware,272,40
Florida,210,-145
Georgia,170,-75
Hawaii,-317,-150
Idaho,-220,120
Illinois,83,37
Indiana,122,39
Iowa,34,63
Kansas,-30,3
Kentucky,140,-7
Louisiana,50,-130
Maine,312,165
Maryland,280,27
Massachusetts,305,105
Michigan,130,90
Minnesota,10,145
Mississippi,85,-100
Missouri,35,6
Montana,-150,150
Nebraska,-55,55
Nevada,-265,50
New Hampshire,302,127
New Jersey,282,60
New Mexico,-150,-50
New York,232,95
North Carolina,205,-25
North Dakota,-68,155
Ohio,170,48
Oklahoma,-25,-45
Oregon,-295,130
Pennsylvania,206,70
Rhode Island,313,95
South Carolina,205,-60
South Dakota,-68,105
Tennessee,115,-36
Texas,-40,-108
Utah,-195,34
Vermont,270,152
Virginia,225,5
Washington,-285,180
West Virginia,195,20
Wisconsin,60,113
Wyoming,-145,90
